id,datetime_added,journal,search_term,datetime_article,category,type,title,link,comment_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
DI202409270648-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:48:00,nacional,article,Vacunat de llengua blava tot el ramat boví i oví del país,https://www.diariandorra.ad/nacional/240927/vacunat-llengua-blava-tot-ramat-bovi-i-ovi-pais_158903.html,,,,,,,,
DI202409270642-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:42:00,entreteniment,article,Disney+ posa límits,https://www.diariandorra.ad/entreteniment/240927/disney-posa-limits_158902.html,,,,,,,,
DI202409270640-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:40:00,entreteniment,article,Soy Nevenka,https://www.diariandorra.ad/entreteniment/240927/transformers-one_158901.html,,,,,,,,
DI202409270638-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:38:00,entreteniment,article,Caldes Festival. 'La salle d'attente',https://www.diariandorra.ad/entreteniment/240927/caldes-festival-salle-d-attente_158900.html,,,,,,,,
DI202409270636-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:36:00,entreteniment,article,Prediccions del zodíac,https://www.diariandorra.ad/entreteniment/240927/prediccions-zodiac_158899.html,,,,,,,,
DI202409270631-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:31:00,actualitat-economica,article,L’optimisme torna a les borses europees,https://www.diariandorra.ad/actualitat-economica/240927/l-optimisme-torna-les-borses-europees_158898.html,,,,,,,,
DI202409270629-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:29:00,semafor,article,"Semàfor, 27 de setembre",https://www.diariandorra.ad/semafor/240927/semafor-27-setembre_158897.html,,,,,,,,
DI202409270625-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:25:00,la-perla,article,“Estem en una bona situació pel que fa al compliment dels objectius de desenvolupament sostenible de l’Agenda 2030”,https://www.diariandorra.ad/la-perla/240927/estem-bona-situacio-pel-fa-compliment-dels-objectius-desenvolupament-sostenible-l-agenda-2030_158896.html,,,,,,,,
DI202409270624-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:24:00,nacional,article,Stop Violències s’uneix amb una entitat veneçolana proavortista,https://www.diariandorra.ad/nacional/240927/stop-violencies-s-uneix-amb-entitat-venecolana-proavortista_158895.html,,,,,,,,
DI202409270622-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:22:00,nacional,article,Govern i Ski Andorra s’alien per garantir la seguretat laboral a les pistes,https://www.diariandorra.ad/nacional/240927/govern-i-ski-andorra-s-alien-per-garantir-seguretat-laboral-les-pistes_158894.html,,,,,,,,
DI202409270621-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:21:00,nacional,article,5.800 paquets de tabac intervinguts al Pas,https://www.diariandorra.ad/nacional/240927/5-800-paquets-tabac-intervinguts-pas_158893.html,,,,,,,,
DI202409270620-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:20:00,nacional,article,"Creix un 6,8% el valor de les importacions",https://www.diariandorra.ad/nacional/240927/creix-6-8-valor-les-importacions_158892.html,,,,,,,,
DI202409270619-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:19:00,nacional,article,El raonador proposa un concurs literari juvenil,https://www.diariandorra.ad/nacional/240927/raonador-proposa-concurs-literari-juvenil_158891.html,,,,,,,,
DI202409270612-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:12:00,la-contra,article,“L’escriptura és una teràpia i la meva meditació”,https://www.diariandorra.ad/la-contra/240927/l-escriptura-terapia-i-meva-meditacio_158890.html,,,,,,,,
DI202409270608-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:08:00,opinio,opinion,Rastreig dels pisos turístics,https://www.diariandorra.ad/opinio/editorial/240927/rastreig-dels-pisos-turistics_158889.html,,,,,,,,
DI202409270606-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:06:00,opinio,opinion,Un perfecte ambaixador del català,https://www.diariandorra.ad/opinio/la-tribuna/240927/perfecte-ambaixador-catala_158887.html,,,,,,,,
DI202409270604-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:04:00,opinio,opinion,Prevenir el suïcidi,https://www.diariandorra.ad/opinio/foc-i-lloc/240927/prevenir-suicidi_158886.html,,,,,,,,
DI202409270602-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:02:00,opinio,opinion,Salari digne,https://www.diariandorra.ad/opinio/les-set-claus/240927/salari-digne_158885.html,,,,,,,,
DI202409270601-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:01:00,opinio,opinion,Els detectors,https://www.diariandorra.ad/opinio/la-visura/240927/els-detectors_158884.html,,,,,,,,
DI202409270600-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 06:00:00,opinio,opinion,Ordenació i futur,https://www.diariandorra.ad/opinio/la-seca-la-meca/240927/ordenacio-i-futur_158883.html,,,,,,,,
DI202409270554-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:54:00,nacional,article,El PS impulsa el dret a l’oblit sanitari al marge del Govern,https://www.diariandorra.ad/nacional/240927/ps-impulsa-dret-l-oblit-sanitari-marge-govern_158882.html,,,,,,,,
DI202409270552-la-article,2024-09-27 10:30:28.036415,diari,la,2024-09-27 05:52:00,nacional,article,Xavier Espot treu pit de l’“exemplaritat” d’Andorra a l’ONU,https://www.diariandorra.ad/nacional/240927/xavier-espot-treu-pit-l-exemplaritat-d-andorra-l-onu_158881.html,,,,,,,,
